Тип запуска;Воркеры (шт);Буфер канала (шт);Объекты (шт);Время работы (сек);Alloc space (байт);Alloc objects (шт);Total alloc (байт);System memory (байт)
Пул воркеров;20;200;300;0,000748444;341792;2354;341792;1964280
Пул воркеров;20;200;3000;0,003145071;3128472;21199;3128472;2488568
Пул воркеров;20;200;30000;0,029524138;2681808;210283;31010208;3406072
Пул воркеров;20;200;300000;0,279669531;2124392;2100429;309667232;3733752
Пул воркеров;20;200;3000000;2,774412376;3463064;21001045;3096165160;3406072
Пул воркеров;20;200;30000000;28,201546261;1101112;210006982;30961115744;3668216
Горутины;0;200;300;0,000794651;451400;2554;451400;524288
Горутины;0;200;3000;0,005213526;3162528;21883;3414416;3078392
Горутины;0;200;30000;0,043039025;3457712;214469;32072256;3668216
Горутины;0;200;300000;0,445967054;2486408;2125040;313043848;3733752
Горутины;0;200;3000000;4,676497328;10504696;21396115;3138358632;73728248
Горутины;0;200;30000000;45,298283592;14054768;214692232;31417161792;73793784
Пул воркеров (буфер заполнен);20;300;300;0,000737545;350208;2305;350208;524288
Пул воркеров (буфер заполнен);20;3000;3000;0,003478041;2928632;21294;3211464;1114112
Пул воркеров (буфер заполнен);20;30000;30000;0,024403488;4233232;210291;31727456;3406072
Пул воркеров (буфер заполнен);20;300000;300000;0,224476985;38403104;2100335;316851584;216211704
Пул воркеров (буфер заполнен);20;3000000;3000000;2,20222005;254926432;21000300;3168057056;2344252024
Горутины (одновременно);300;200;300;0,000792307;481720;2857;481720;1964280
Горутины (одновременно);3000;200;3000;0,004929536;2307344;27168;4641744;2554104
Горутины (одновременно);30000;200;30000;0,036248623;38848344;270272;46501424;73728248
Горутины (одновременно);300000;200;300000;0,203211766;458958416;2700169;468253592;1752225528
Горутины (одновременно);3000000;200;3000000;18,598544323;3576001048;27000763;4674607064;17073002504
Горутины (fast);0;200;300;0,000721235;250648;1056;250648;0
Горутины (fast);0;200;3000;0,003815111;1478024;6976;1478024;786432
Горутины (fast);0;200;30000;0,031672637;982080;64037;12347400;3143928
Горутины (fast);0;200;300000;0,295876282;1671408;624774;119735272;2881784
Горутины (fast);0;200;3000000;2,98110111;2945408;6281804;1200124960;4454648
Горутины (fast);0;200;30000000;40,068024285;2146812384;66574695;13098641808;8141281368
